T, P
400, 0.04677
401, 0.04677
402, 0.04677
403, 0.04677
404, 0.04677
405, 0.04677
406, 0.04677
407, 0.04677
408, 0.04677
409, 0.04677
410, 0.04677
411, 0.04677
412, 0.04677
413, 0.04677
414, 0.04677
415, 0.04677
416, 0.04677
417, 0.04677
418, 0.04677
419, 0.04677
420, 0.04677
421, 0.04677
422, 0.04677
423, 0.04677
424, 0.04677
425, 0.04677
426, 0.04677
427, 0.04677
428, 0.04677
429, 0.04677
430, 0.04677
431, 0.04677
432, 0.04677
433, 0.04677
434, 0.04677
435, 0.04677
436, 0.04677
437, 0.04677
438, 0.04677
439, 0.04677
440, 0.04677
441, 0.04677
442, 0.04677
443, 0.04677
444, 0.04677
445, 0.04677
446, 0.04677
447, 0.04677
448, 0.04677
449, 0.04677
450, 0.04677
451, 0.04677
452, 0.04677
453, 0.04677
454, 0.04677
455, 0.04677
456, 0.04677
457, 0.04677
458, 0.04677
459, 0.04677
460, 0.04677
461, 0.04677
462, 0.04677
463, 0.04677
464, 0.04677
465, 0.04677
466, 0.04677
467, 0.04677
468, 0.04677
469, 0.04677
470, 0.04677
471, 0.04677
472, 0.04677
473, 0.04677
474, 0.04677
475, 0.04677
476, 0.04677
477, 0.04677
478, 0.04677
479, 0.04677
480, 0.04677
481, 0.04677
482, 0.04677
483, 0.04677
484, 0.04677
485, 0.04677
486, 0.04677
487, 0.04677
488, 0.04677
489, 0.04677
490, 0.04677
491, 0.04677
492, 0.04677
493, 0.04677
494, 0.04677
495, 0.04677
496, 0.04677
497, 0.04677
498, 0.04677
499, 0.04677
500, 0.04677
501, 0.04677
502, 0.04677
503, 0.04677
504, 0.04677
505, 0.04677
506, 0.04677
507, 0.04677
508, 0.04677
509, 0.04677
510, 0.04677
511, 0.04677
512, 0.04677
513, 0.04677
514, 0.04677
515, 0.04677
516, 0.04677
517, 0.04677
518, 0.04677
519, 0.04677
520, 0.04677
521, 0.04677
522, 0.04677
523, 0.04677
524, 0.04677
525, 0.04677
526, 0.04677
527, 0.04677
528, 0.04677
529, 0.04677
530, 0.04677
531, 0.04677
532, 0.04677
533, 0.04677
534, 0.04677
535, 0.04677
536, 0.04677
537, 0.04677
538, 0.04677
539, 0.04677
540, 0.04677
541, 0.04677
542, 0.04677
543, 0.04677
544, 0.04677
545, 0.04677
546, 0.04677
547, 0.04677
548, 0.04677
549, 0.04677
550, 0.04677
551, 0.04677
552, 0.04677
553, 0.04677
554, 0.04677
555, 0.04677
556, 0.04677
557, 0.04677
558, 0.04677
559, 0.04677
560, 0.04677
561, 0.04677
562, 0.04677
563, 0.04677
564, 0.04677
565, 0.04677
566, 0.04677
567, 0.04677
568, 0.04677
569, 0.04677
570, 0.04677
571, 0.04677
572, 0.04677
573, 0.04677
574, 0.04677
575, 0.04677
576, 0.04677
577, 0.04677
578, 0.04677
579, 0.04677
580, 0.04677
581, 0.04677
582, 0.04677
583, 0.04677
584, 0.04677
585, 0.04677
586, 0.04677
587, 0.04677
588, 0.04677
589, 0.04677
590, 0.04677
591, 0.04677
592, 0.04677
593, 0.04677
594, 0.04677
595, 0.04677
596, 0.04677
597, 0.04677
598, 0.04677
599, 0.04677
600, 0.04677
601, 0.04677
602, 0.04677
603, 0.04677
604, 0.04677
605, 0.04677
606, 0.04677
607, 0.04677
608, 0.04677
609, 0.04677
610, 0.04677
611, 0.04677
612, 0.04677
613, 0.04677
614, 0.04677
615, 0.04677
616, 0.04677
617, 0.04677
618, 0.04677
619, 0.04677
620, 0.04677
621, 0.04677
622, 0.04677
623, 0.04677
624, 0.04677
625, 0.04677
626, 0.04677
627, 0.04677
628, 0.04677
629, 0.04677
630, 0.04677
631, 0.04677
632, 0.04677
633, 0.04677
634, 0.04677
635, 0.04677
636, 0.04677
637, 0.04677
638, 0.04677
639, 0.04677
640, 0.04677
641, 0.04677
642, 0.04677
643, 0.04677
644, 0.04677
645, 0.04677
646, 0.04677
647, 0.04677
648, 0.04677
649, 0.04677
650, 0.04677
651, 0.04677
652, 0.04677
653, 0.04677
654, 0.04677
655, 0.04677
656, 0.04677
657, 0.04677
658, 0.04677
659, 0.04677
660, 0.04677
661, 0.04677
662, 0.04677
663, 0.04677
664, 0.04677
665, 0.04677
666, 0.04677
667, 0.04677
668, 0.04677
669, 0.04677
670, 0.04677
671, 0.04677
672, 0.04677
673, 0.04677
674, 0.04677
675, 0.04677
676, 0.04677
677, 0.04677
678, 0.04677
679, 0.04677
680, 0.04677
681, 0.04677
682, 0.04677
683, 0.04677
684, 0.04677
685, 0.04677
686, 0.04677
687, 0.04677
688, 0.04677
689, 0.04677
690, 0.04677
691, 0.04677
692, 0.04677
693, 0.04677
694, 0.04677
695, 0.04677
696, 0.04677
697, 0.04677
698, 0.04677
699, 0.04677
700, 0.04677
701, 0.04677
702, 0.04677
703, 0.04677
704, 0.04677
705, 0.04677
706, 0.04677
707, 0.04677
708, 0.04677
709, 0.04677
710, 0.04677
711, 0.04677
712, 0.04677
713, 0.04677
714, 0.04677
715, 0.04677
716, 0.04677
717, 0.04677
718, 0.04677
719, 0.04677
720, 0.04677
721, 0.04677
722, 0.04677
723, 0.04677
724, 0.04677
725, 0.04677
726, 0.04677
727, 0.04677
728, 0.04677
729, 0.04677
730, 0.04677
731, 0.04677
732, 0.04677
733, 0.04677
734, 0.04677
735, 0.04677
736, 0.04677
737, 0.04677
738, 0.04677
739, 0.04677
740, 0.04677
741, 0.04677
742, 0.04677
743, 0.04677
744, 0.04677
745, 0.04677
746, 0.04677
747, 0.04677
748, 0.04677
749, 0.04677
750, 0.04677
751, 0.04677
752, 0.04677
753, 0.04677
754, 0.04677
755, 0.04677
756, 0.04677
757, 0.04677
758, 0.04677
759, 0.04677
760, 0.04677
761, 0.04677
762, 0.04677
763, 0.04677
764, 0.04677
765, 0.04677
766, 0.04677
767, 0.04677
768, 0.04677
769, 0.04677
770, 0.04677
771, 0.04677
772, 0.04677
773, 0.04677
774, 0.04677
775, 0.04677
776, 0.04677
777, 0.04677
778, 0.04677
779, 0.04677
780, 0.04677
781, 0.04677
782, 0.04677
783, 0.04677
784, 0.04677
785, 0.04677
786, 0.04677
787, 0.04677
788, 0.04677
789, 0.04677
790, 0.04677
791, 0.04677
792, 0.04677
793, 0.04677
794, 0.04677
795, 0.04677
796, 0.04677
797, 0.04677
798, 0.04677
799, 0.04677
800, 0.04677
801, 0.04677
802, 0.04677
803, 0.04677
804, 0.04677
805, 0.04677
806, 0.04677
807, 0.04677
808, 0.04677
809, 0.04677
810, 0.04677
811, 0.04677
812, 0.04677
813, 0.04677
814, 0.04677
815, 0.04677
816, 0.04677
817, 0.04677
818, 0.04677
819, 0.04677
820, 0.04677
821, 0.04677
822, 0.04677
823, 0.04677
824, 0.04677
825, 0.04677
826, 0.04677
827, 0.04677
828, 0.04677
829, 0.04677
830, 0.04677
831, 0.04677
832, 0.04677
833, 0.04677
834, 0.04677
835, 0.04677
836, 0.04677
837, 0.04677
838, 0.04677
839, 0.04677
840, 0.04677
841, 0.04677
842, 0.04677
843, 0.04677
844, 0.04677
845, 0.04677
846, 0.04677
847, 0.04677
848, 0.04677
849, 0.04677
850, 0.04677
851, 0.04677
852, 0.04677
853, 0.04677
854, 0.04677
855, 0.04677
856, 0.04677
857, 0.04677
858, 0.04677
859, 0.04677
860, 0.04677
861, 0.04677
862, 0.04677
863, 0.04677
864, 0.04677
865, 0.04677
866, 0.04677
867, 0.04677
868, 0.04677
869, 0.04677
870, 0.04677
871, 0.04677
872, 0.04677
873, 0.04677
874, 0.04677
875, 0.04677
876, 0.04677
877, 0.04677
878, 0.04677
879, 0.04677
880, 0.04677
881, 0.04677
882, 0.04677
883, 0.04677
884, 0.04677
885, 0.04677
886, 0.04677
887, 0.04677
888, 0.04677
889, 0.04677
890, 0.04677
891, 0.04677
892, 0.04677
893, 0.04677
894, 0.04677
895, 0.04677
896, 0.04677
897, 0.04677
898, 0.04677
899, 0.04677
900, 0.04677
901, 0.04677
902, 0.04677
903, 0.04677
904, 0.04677
905, 0.04677
906, 0.04677
907, 0.04677
908, 0.04677
909, 0.04677
910, 0.04677
911, 0.04677
912, 0.04677
913, 0.04677
914, 0.04677
915, 0.04677
916, 0.04677
917, 0.04677
918, 0.04677
919, 0.04677
920, 0.04677
921, 0.04677
922, 0.04677
923, 0.04677
924, 0.04677
925, 0.04677
926, 0.04677
927, 0.04677
928, 0.04677
929, 0.04677
930, 0.04677
931, 0.04677
932, 0.04677
933, 0.04677
934, 0.04677
935, 0.04677
936, 0.04677
937, 0.04677
938, 0.04677
939, 0.04677
940, 0.04677
941, 0.04677
942, 0.04677
943, 0.04677
944, 0.04677
945, 0.04677
946, 0.04677
947, 0.04677
948, 0.04677
949, 0.04677
950, 0.04677
951, 0.04677
952, 0.04677
953, 0.04677
954, 0.04677
955, 0.04677
956, 0.04677
957, 0.04677
958, 0.04677
959, 0.04677
960, 0.04677
961, 0.04677
962, 0.04677
963, 0.04677
964, 0.04677
965, 0.04677
966, 0.04677
967, 0.04677
968, 0.04677
969, 0.04677
970, 0.04677
971, 0.04677
972, 0.04677
973, 0.04677
974, 0.04677
975, 0.04677
976, 0.04677
977, 0.04677
978, 0.04677
979, 0.04677
980, 0.04677
981, 0.04677
982, 0.04677
983, 0.04677
984, 0.04677
985, 0.04677
986, 0.04677
987, 0.04677
988, 0.04677
989, 0.04677
990, 0.04677
991, 0.04677
992, 0.04677
993, 0.04677
994, 0.04677
995, 0.04677
996, 0.04677
997, 0.04677
998, 0.04677
999, 0.04677
1000, 0.04677
1001, 0.04677
1002, 0.04677
1003, 0.04677
1004, 0.04677
1005, 0.04677
1006, 0.04677
1007, 0.04677
1008, 0.04677
1009, 0.04677
1010, 0.04677
1011, 0.04677
1012, 0.04677
1013, 0.04677
1014, 0.04677
1015, 0.04677
1016, 0.04677
1017, 0.04677
1018, 0.04677
1019, 0.04677
1020, 0.04677
1021, 0.04677
1022, 0.04677
1023, 0.04677
1024, 0.04677
1025, 0.04677
1026, 0.04677
1027, 0.04677
1028, 0.04677
1029, 0.04677
1030, 0.04677
1031, 0.04677
1032, 0.04677
1033, 0.04677
1034, 0.04677
1035, 0.04677
1036, 0.04677
1037, 0.04677
1038, 0.04677
1039, 0.04677
1040, 0.04677
1041, 0.04677
1042, 0.04677
1043, 0.04677
1044, 0.04677
1045, 0.04677
1046, 0.04677
1047, 0.04677
1048, 0.04677
1049, 0.04677
1050, 0.04677
1051, 0.04677
1052, 0.04677
1053, 0.04677
1054, 0.04677
1055, 0.04677
1056, 0.04677
1057, 0.04677
1058, 0.04677
1059, 0.04677
1060, 0.04677
1061, 0.04677
1062, 0.04677
1063, 0.04677
1064, 0.04677
1065, 0.04677
1066, 0.04677
1067, 0.04677
1068, 0.04677
1069, 0.04677
1070, 0.04677
1071, 0.04677
1072, 0.04677
1073, 0.04677
1074, 0.04677
1075, 0.04677
1076, 0.04677
1077, 0.04677
1078, 0.04677
1079, 0.04677
1080, 0.04677
1081, 0.04677
1082, 0.04677
1083, 0.04677
1084, 0.04677
1085, 0.04677
1086, 0.04677
1087, 0.04677
1088, 0.04677
1089, 0.04677
1090, 0.04677
1091, 0.04677
1092, 0.04677
1093, 0.04677
1094, 0.04677
1095, 0.04677
1096, 0.04677
1097, 0.04677
1098, 0.04677
1099, 0.04677
1100, 0.04677
1101, 0.04677
1102, 0.04677
1103, 0.04677
1104, 0.04677
1105, 0.04677
1106, 0.04677
1107, 0.04677
1108, 0.04677
1109, 0.04677
1110, 0.04677
1111, 0.04677
1112, 0.04677
1113, 0.04677
1114, 0.04677
1115, 0.04677
1116, 0.04677
1117, 0.04677
1118, 0.04677
1119, 0.04677
1120, 0.04677
1121, 0.04677
1122, 0.04677
1123, 0.04677
1124, 0.04677
1125, 0.04677
1126, 0.04677
1127, 0.04677
1128, 0.04677
1129, 0.04677
1130, 0.04677
1131, 0.04677
1132, 0.04677
1133, 0.04677
1134, 0.04677
1135, 0.04677
1136, 0.04677
1137, 0.04677
1138, 0.04677
1139, 0.04677
1140, 0.04677
1141, 0.04677
1142, 0.04677
1143, 0.04677
1144, 0.04677
1145, 0.04677
1146, 0.04677
1147, 0.04677
1148, 0.04677
1149, 0.04677
1150, 0.04677
1151, 0.04677
1152, 0.04677
1153, 0.04677
1154, 0.04677
1155, 0.04677
1156, 0.04677
1157, 0.04677
1158, 0.04677
1159, 0.04677
1160, 0.04677
1161, 0.04677
1162, 0.04677
1163, 0.04677
1164, 0.04677
1165, 0.04677
1166, 0.04677
1167, 0.04677
1168, 0.04677
1169, 0.04677
1170, 0.04677
1171, 0.04677
1172, 0.04677
1173, 0.04677
1174, 0.04677
1175, 0.04677
1176, 0.04677
1177, 0.04677
1178, 0.04677
1179, 0.04677
1180, 0.04677
1181, 0.04677
1182, 0.04677
1183, 0.04677
1184, 0.04677
1185, 0.04677
1186, 0.04677
1187, 0.04677
1188, 0.04677
1189, 0.04677
1190, 0.04677
1191, 0.04677
1192, 0.04677
1193, 0.04677
1194, 0.04677
1195, 0.04677
1196, 0.04677
1197, 0.04677
1198, 0.04677
1199, 0.04677
1200, 0.04677
1201, 0.04677
1202, 0.04677
1203, 0.04677
1204, 0.04677
1205, 0.04677
1206, 0.04677
1207, 0.04677
1208, 0.04677
1209, 0.04677
1210, 0.04677
1211, 0.04677
1212, 0.04677
1213, 0.04677
1214, 0.04677
1215, 0.04677
1216, 0.04677
1217, 0.04677
1218, 0.04677
1219, 0.04677
1220, 0.04677
1221, 0.04677
1222, 0.04677
1223, 0.04677
1224, 0.04677
1225, 0.04677
1226, 0.04677
1227, 0.04677
1228, 0.04677
1229, 0.04677
1230, 0.04677
1231, 0.04677
1232, 0.04677
1233, 0.04677
1234, 0.04677
1235, 0.04677
1236, 0.04677
1237, 0.04677
1238, 0.04677
1239, 0.04677
1240, 0.04677
1241, 0.04677
1242, 0.04677
1243, 0.04677
1244, 0.04677
1245, 0.04677
1246, 0.04677
1247, 0.04677
1248, 0.04677
1249, 0.04677
1250, 0.04677
1251, 0.04677
1252, 0.04677
1253, 0.04677
1254, 0.04677
1255, 0.04677
1256, 0.04677
1257, 0.04677
1258, 0.04677
1259, 0.04677
1260, 0.04677
1261, 0.04677
1262, 0.04677
1263, 0.04677
1264, 0.04677
1265, 0.04677
1266, 0.04677
1267, 0.04677
1268, 0.04677
1269, 0.04677
1270, 0.04677
1271, 0.04677
1272, 0.04677
1273, 0.04677
1274, 0.04677
1275, 0.04677
1276, 0.04677
1277, 0.04677
1278, 0.04677
1279, 0.04677
1280, 0.04677
1281, 0.04677
1282, 0.04677
1283, 0.04677
1284, 0.04677
1285, 0.04677
1286, 0.04677
1287, 0.04677
1288, 0.04677
1289, 0.04677
1290, 0.04677
1291, 0.04677
1292, 0.04677
1293, 0.04677
1294, 0.04677
1295, 0.04677
1296, 0.04677
1297, 0.04677
1298, 0.04677
1299, 0.04677
1300, 0.04677
1301, 0.04677
1302, 0.04677
1303, 0.04677
1304, 0.04677
1305, 0.04677
1306, 0.04677
1307, 0.04677
1308, 0.04677
1309, 0.04677
1310, 0.04677
1311, 0.04677
1312, 0.04677
1313, 0.04677
1314, 0.04677
1315, 0.04677
1316, 0.04677
1317, 0.04677
1318, 0.04677
1319, 0.04677
1320, 0.04677
1321, 0.04677
1322, 0.04677
1323, 0.04677
1324, 0.04677
1325, 0.04677
1326, 0.04677
1327, 0.04677
1328, 0.04677
1329, 0.04677
1330, 0.04677
1331, 0.04677
1332, 0.04677
1333, 0.04677
1334, 0.04677
1335, 0.04677
1336, 0.04677
1337, 0.04677
1338, 0.04677
1339, 0.04677
1340, 0.04677
1341, 0.04677
1342, 0.04677
1343, 0.04677
1344, 0.04677
1345, 0.04677
1346, 0.04677
1347, 0.04677
1348, 0.04677
1349, 0.04677
1350, 0.04677
1351, 0.04677
1352, 0.04677
1353, 0.04677
1354, 0.04677
1355, 0.04677
1356, 0.04677
1357, 0.04677
1358, 0.04677
1359, 0.04677
1360, 0.04677
1361, 0.04677
1362, 0.04677
1363, 0.04677
1364, 0.04677
1365, 0.04677
1366, 0.04677
1367, 0.04677
1368, 0.04677
1369, 0.04677
1370, 0.04677
1371, 0.04677
1372, 0.04677
1373, 0.04677
1374, 0.04677
1375, 0.04677
1376, 0.04677
1377, 0.04677
1378, 0.04677
1379, 0.04677
1380, 0.04677
1381, 0.04677
1382, 0.04677
1383, 0.04677
1384, 0.04677
1385, 0.04677
1386, 0.04677
1387, 0.04677
1388, 0.04677
1389, 0.04677
1390, 0.04677
1391, 0.04677
1392, 0.04677
1393, 0.04677
1394, 0.04677
1395, 0.04677
1396, 0.04677
1397, 0.04677
1398, 0.04677
1399, 0.04677
1400, 0.04677
1401, 0.04677
1402, 0.04677
1403, 0.04677
1404, 0.04677
1405, 0.04677
1406, 0.04677
1407, 0.04677
1408, 0.04677
1409, 0.04677
1410, 0.04677
1411, 0.04677
1412, 0.04677
1413, 0.04677
1414, 0.04677
1415, 0.04677
1416, 0.04677
1417, 0.04677
1418, 0.04677
1419, 0.04677
1420, 0.04677
1421, 0.04677
1422, 0.04677
1423, 0.04677
1424, 0.04677
1425, 0.04677
1426, 0.04677
