T, P
400, 0.27127
401, 0.27162
402, 0.28215
403, 0.29539
404, 0.27209
405, 0.26729
406, 0.26537
407, 0.25267
408, 0.24876
409, 0.24908
410, 0.24732
411, 0.24627
412, 0.24536
413, 0.24674
414, 0.24735
415, 0.25657
416, 0.27176
417, 0.27588
418, 0.27427
419, 0.27203
420, 0.27463
421, 0.27139
422, 0.26923
423, 0.26441
424, 0.26327
425, 0.26524
426, 0.27151
427, 0.26622
428, 0.26437
429, 0.26125
430, 0.24975
431, 0.24851
432, 0.24514
433, 0.24311
434, 0.243
435, 0.24211
436, 0.24218
437, 0.24173
438, 0.24182
439, 0.24107
440, 0.24438
441, 0.24737
442, 0.25086
443, 0.2519
444, 0.25877
445, 0.25822
446, 0.25134
447, 0.24941
448, 0.24956
449, 0.251
450, 0.26118
451, 0.26191
452, 0.25316
453, 0.24732
454, 0.24739
455, 0.24778
456, 0.2436
457, 0.2444
458, 0.24192
459, 0.24054
460, 0.23973
461, 0.23958
462, 0.23917
463, 0.23238
464, 0.23704
465, 0.24138
466, 0.24702
467, 0.24882
468, 0.24943
469, 0.24909
470, 0.2477
471, 0.24433
472, 0.24202
473, 0.24287
474, 0.24937
475, 0.25005
476, 0.24916
477, 0.24801
478, 0.24481
479, 0.24636
480, 0.2406
481, 0.23627
482, 0.23857
483, 0.23123
484, 0.23128
485, 0.23852
486, 0.2386
487, 0.2468
488, 0.26536
489, 0.2654
490, 0.26533
491, 0.26625
492, 0.26886
493, 0.27066
494, 0.27073
495, 0.26826
496, 0.26531
497, 0.26499
498, 0.2708
499, 0.27066
500, 0.27067
501, 0.26528
502, 0.26025
503, 0.2499
504, 0.24587
505, 0.24311
506, 0.2424
507, 0.24359
508, 0.24255
509, 0.2424
510, 0.24307
511, 0.2474
512, 0.26752
513, 0.27414
514, 0.27242
515, 0.27369
516, 0.27482
517, 0.27322
518, 0.27188
519, 0.27008
520, 0.26901
521, 0.27005
522, 0.28439
523, 0.29065
524, 0.27636
525, 0.26665
526, 0.26478
527, 0.26452
528, 0.24992
529, 0.24887
530, 0.24761
531, 0.24718
532, 0.24755
533, 0.24746
534, 0.25034
535, 0.26137
536, 0.27742
537, 0.28422
538, 0.2843
539, 0.28511
540, 0.28357
541, 0.2768
542, 0.27532
543, 0.27235
544, 0.26907
545, 0.26944
546, 0.28422
547, 0.30783
548, 0.28481
549, 0.27263
550, 0.26438
551, 0.26125
552, 0.2544
553, 0.25675
554, 0.24934
555, 0.2485
556, 0.24899
557, 0.2487
558, 0.25053
559, 0.25982
560, 0.27775
561, 0.28023
562, 0.28321
563, 0.28271
564, 0.28194
565, 0.27858
566, 0.27348
567, 0.27281
568, 0.26954
569, 0.27502
570, 0.28646
571, 0.28926
572, 0.28429
573, 0.26964
574, 0.26434
575, 0.26425
576, 0.24948
577, 0.24955
578, 0.24861
579, 0.24838
580, 0.24849
581, 0.2491
582, 0.25036
583, 0.26186
584, 0.27062
585, 0.27738
586, 0.27922
587, 0.27729
588, 0.27611
589, 0.27132
590, 0.2673
591, 0.26323
592, 0.26124
593, 0.26447
594, 0.2716
595, 0.26837
596, 0.26471
597, 0.26417
598, 0.25035
599, 0.24842
600, 0.24574
601, 0.24513
602, 0.24215
603, 0.24141
604, 0.24139
605, 0.24118
606, 0.2407
607, 0.24131
608, 0.23949
609, 0.24413
610, 0.24733
611, 0.24891
612, 0.24809
613, 0.24807
614, 0.24804
615, 0.24678
616, 0.2472
617, 0.24828
618, 0.2543
619, 0.25927
620, 0.24958
621, 0.24805
622, 0.24536
623, 0.24633
624, 0.24544
625, 0.24264
626, 0.24074
627, 0.24033
628, 0.23882
629, 0.23794
630, 0.23463
631, 0.23749
632, 0.23903
633, 0.2375
634, 0.24196
635, 0.24542
636, 0.24581
637, 0.24225
638, 0.23768
639, 0.23414
640, 0.22451
641, 0.23453
642, 0.24562
643, 0.24781
644, 0.24732
645, 0.24541
646, 0.24259
647, 0.24504
648, 0.24134
649, 0.23995
650, 0.24037
651, 0.24028
652, 0.24006
653, 0.23841
654, 0.24133
655, 0.25049
656, 0.26906
657, 0.26727
658, 0.26728
659, 0.2647
660, 0.26549
661, 0.2653
662, 0.26626
663, 0.26341
664, 0.26065
665, 0.26111
666, 0.26747
667, 0.26533
668, 0.2593
669, 0.24797
670, 0.24442
671, 0.24258
672, 0.23286
673, 0.23388
674, 0.21985
675, 0.21777
676, 0.21783
677, 0.21763
678, 0.21971
679, 0.24138
680, 0.24339
681, 0.24432
682, 0.24548
683, 0.24634
684, 0.24773
685, 0.24767
686, 0.24827
687, 0.24958
688, 0.24972
689, 0.24901
690, 0.26019
691, 0.25931
692, 0.25741
693, 0.24916
694, 0.24869
695, 0.24396
696, 0.23983
697, 0.23239
698, 0.2231
699, 0.21967
700, 0.21936
701, 0.21935
702, 0.21978
703, 0.24298
704, 0.25523
705, 0.24822
706, 0.24684
707, 0.24682
708, 0.24665
709, 0.24631
710, 0.24592
711, 0.24571
712, 0.24576
713, 0.24722
714, 0.25155
715, 0.25029
716, 0.25049
717, 0.24649
718, 0.23771
719, 0.22452
720, 0.21577
721, 0.20929
722, 0.2093
723, 0.20925
724, 0.20928
725, 0.21624
726, 0.21772
727, 0.2374
728, 0.24628
729, 0.24653
730, 0.24611
731, 0.24598
732, 0.24533
733, 0.24209
734, 0.24569
735, 0.24598
736, 0.24642
737, 0.24692
738, 0.24795
739, 0.24777
740, 0.24679
741, 0.24511
742, 0.2403
743, 0.23736
744, 0.218
745, 0.21743
746, 0.21666
747, 0.21746
748, 0.21785
749, 0.2179
750, 0.21938
751, 0.24354
752, 0.24722
753, 0.25081
754, 0.25128
755, 0.2526
756, 0.25227
757, 0.25027
758, 0.2513
759, 0.25323
760, 0.25257
761, 0.25058
762, 0.25928
763, 0.26915
764, 0.26617
765, 0.25928
766, 0.24874
767, 0.25234
768, 0.24583
769, 0.24634
770, 0.24515
771, 0.24161
772, 0.2394
773, 0.23933
774, 0.23735
775, 0.23653
776, 0.23978
777, 0.24592
778, 0.24812
779, 0.24964
780, 0.24985
781, 0.24782
782, 0.24604
783, 0.24232
784, 0.24133
785, 0.24219
786, 0.24953
787, 0.25681
788, 0.25427
789, 0.24621
790, 0.24384
791, 0.24532
792, 0.24161
793, 0.24238
794, 0.23836
795, 0.23491
796, 0.23266
797, 0.23257
798, 0.23431
799, 0.22444
800, 0.23533
801, 0.24397
802, 0.24551
803, 0.24682
804, 0.24788
805, 0.24625
806, 0.24235
807, 0.23925
808, 0.23771
809, 0.23571
810, 0.24236
811, 0.24831
812, 0.24325
813, 0.2364
814, 0.22822
815, 0.23439
816, 0.22157
817, 0.22295
818, 0.2247
819, 0.2318
820, 0.23541
821, 0.23771
822, 0.24064
823, 0.25801
824, 0.26929
825, 0.26411
826, 0.25332
827, 0.25141
828, 0.24771
829, 0.24697
830, 0.24191
831, 0.23912
832, 0.23797
833, 0.2385
834, 0.24428
835, 0.24696
836, 0.24626
837, 0.2389
838, 0.23569
839, 0.2284
840, 0.21811
841, 0.2206
842, 0.21978
843, 0.21794
844, 0.21809
845, 0.21659
846, 0.22938
847, 0.24114
848, 0.24878
849, 0.24816
850, 0.24784
851, 0.24736
852, 0.24291
853, 0.2423
854, 0.24228
855, 0.24596
856, 0.24744
857, 0.24887
858, 0.25631
859, 0.26779
860, 0.26386
861, 0.24909
862, 0.24688
863, 0.24858
864, 0.24137
865, 0.24405
866, 0.24395
867, 0.24058
868, 0.23936
869, 0.2396
870, 0.24121
871, 0.25099
872, 0.26921
873, 0.26921
874, 0.26865
875, 0.26773
876, 0.26841
877, 0.26529
878, 0.26284
879, 0.25926
880, 0.25661
881, 0.25689
882, 0.26522
883, 0.26926
884, 0.26856
885, 0.26226
886, 0.24765
887, 0.24603
888, 0.24478
889, 0.24513
890, 0.24416
891, 0.24258
892, 0.24191
893, 0.24258
894, 0.24341
895, 0.25426
896, 0.26875
897, 0.26759
898, 0.26759
899, 0.26759
900, 0.2674
901, 0.26536
902, 0.26475
903, 0.26327
904, 0.26276
905, 0.26129
906, 0.2682
907, 0.29162
908, 0.27943
909, 0.27163
910, 0.26125
911, 0.25527
912, 0.24687
913, 0.24607
914, 0.24269
915, 0.24193
916, 0.24229
917, 0.24258
918, 0.24431
919, 0.2528
920, 0.26814
921, 0.27126
922, 0.27424
923, 0.27955
924, 0.27313
925, 0.26959
926, 0.26368
927, 0.25741
928, 0.2563
929, 0.25627
930, 0.26647
931, 0.27898
932, 0.26807
933, 0.26368
934, 0.25627
935, 0.24855
936, 0.24591
937, 0.24593
938, 0.2431
939, 0.24161
940, 0.24344
941, 0.2439
942, 0.2436
943, 0.24223
944, 0.2453
945, 0.24605
946, 0.25049
947, 0.25812
948, 0.25827
949, 0.2563
950, 0.24993
951, 0.24814
952, 0.24833
953, 0.24958
954, 0.26008
955, 0.27373
956, 0.26523
957, 0.25012
958, 0.24729
959, 0.24689
960, 0.24325
961, 0.24683
962, 0.24187
963, 0.24401
964, 0.24394
965, 0.2425
966, 0.24205
967, 0.2397
968, 0.23942
969, 0.2395
970, 0.24442
971, 0.24746
972, 0.24791
973, 0.24488
974, 0.24219
975, 0.24065
976, 0.24142
977, 0.24428
978, 0.24905
979, 0.24984
980, 0.24922
981, 0.24814
982, 0.24568
983, 0.24693
984, 0.24258
985, 0.24129
986, 0.23989
987, 0.23961
988, 0.23881
989, 0.23734
990, 0.23987
991, 0.25005
992, 0.25537
993, 0.257
994, 0.25628
995, 0.25431
996, 0.25388
997, 0.25198
998, 0.25099
999, 0.25059
1000, 0.25084
1001, 0.25211
1002, 0.25922
1003, 0.26111
1004, 0.25928
1005, 0.2563
1006, 0.25068
1007, 0.25212
1008, 0.24789
1009, 0.24439
1010, 0.24503
1011, 0.24386
1012, 0.24443
1013, 0.24566
1014, 0.24625
1015, 0.2508
1016, 0.25851
1017, 0.26526
1018, 0.26131
1019, 0.26431
1020, 0.26704
1021, 0.26317
1022, 0.26125
1023, 0.25902
1024, 0.25925
1025, 0.26115
1026, 0.2654
1027, 0.2884
1028, 0.27723
1029, 0.26628
1030, 0.26383
1031, 0.26128
1032, 0.24766
1033, 0.24533
1034, 0.24622
1035, 0.24512
1036, 0.24573
1037, 0.24622
1038, 0.24464
1039, 0.25429
1040, 0.27239
1041, 0.27367
1042, 0.27088
1043, 0.26941
1044, 0.26671
1045, 0.26758
1046, 0.26706
1047, 0.26606
1048, 0.26576
1049, 0.26088
1050, 0.27252
1051, 0.29726
1052, 0.27926
1053, 0.26707
1054, 0.26025
1055, 0.25707
1056, 0.24672
1057, 0.24632
1058, 0.2459
1059, 0.24416
1060, 0.24461
1061, 0.24446
1062, 0.24529
1063, 0.25112
1064, 0.264
1065, 0.26542
1066, 0.26418
1067, 0.26131
1068, 0.2615
1069, 0.25732
1070, 0.25739
1071, 0.2563
1072, 0.25825
1073, 0.26031
1074, 0.26538
1075, 0.27391
1076, 0.27366
1077, 0.25928
1078, 0.25009
1079, 0.24743
1080, 0.24604
1081, 0.24488
1082, 0.24443
1083, 0.24337
1084, 0.24483
1085, 0.24568
1086, 0.24603
1087, 0.25114
1088, 0.2698
1089, 0.27188
1090, 0.2743
1091, 0.27333
1092, 0.27096
1093, 0.27193
1094, 0.26856
1095, 0.26537
1096, 0.26241
1097, 0.26023
1098, 0.26441
