T, P
1, 0.417085267422208
2, 0.411721117055239
3, 0.407097472294486
4, 0.391926137923263
5, 0.395375810381481
6, 0.400450982950902
7, 0.391619099013369
8, 0.39887966617674
9, 0.413310494941748
10, 0.413689778301029
11, 0.413852328312149
12, 0.417482611893835
13, 0.430053146087134
14, 0.42318992339539
15, 0.417139450759248
16, 0.418241178612396
17, 0.442099908022379
18, 0.457198997944215
19, 0.458788375830724
20, 0.458680009156644
21, 0.457307364618295
22, 0.452412803172341
23, 0.454327281081091
24, 0.436970552115918
25, 0.434387813050341
26, 0.418692706421063
27, 0.421456056610108
28, 0.413075700481241
29, 0.413400800503482
30, 0.428734684885825
31, 0.447789158411588
32, 0.471900743394424
33, 0.483351488622228
34, 0.485627188777912
35, 0.476831427065072
36, 0.472894104573493
37, 0.465633537410121
38, 0.467078426397857
39, 0.461912948266702
40, 0.468505254273246
41, 0.481256399590012
42, 0.494386828266059
43, 0.499913528644147
44, 0.494874478299419
45, 0.47995599950105
46, 0.460106837032033
47, 0.463971915074226
48, 0.453532592137836
49, 0.437024735452958
50, 0.427994179279611
51, 0.418006384151889
52, 0.417013022972821
53, 0.416886595186394
54, 0.424237467911498
55, 0.4425333747187
56, 0.456458492338001
57, 0.457451853517069
58, 0.457704709089923
59, 0.462328353850676
60, 0.462346414963023
61, 0.467367404195404
62, 0.463935792849532
63, 0.4605583648407
64, 0.460197142593767
65, 0.478601416075048
66, 0.489167166797864
67, 0.47995599950105
68, 0.468469132048552
69, 0.463827426175452
70, 0.456729409023201
71, 0.454507892204558
72, 0.442515313606353
73, 0.41620027291722
74, 0.413256311604708
75, 0.408903583529155
76, 0.411684994830546
77, 0.411161222572492
78, 0.424147162349765
79, 0.453279736564983
80, 0.458445214696137
81, 0.464080281748306
82, 0.464152526197692
83, 0.46460405400636
84, 0.468595559834979
85, 0.467457709757138
86, 0.458968986954191
87, 0.456476553450347
88, 0.456928081259015
89, 0.458192359123283
90, 0.467475770869484
91, 0.467566076431218
92, 0.47318308237104
93, 0.467457709757138
94, 0.455736047844133
95, 0.456819714584935
96, 0.449559147421564
97, 0.433231901860152
98, 0.424074917900378
99, 0.423966551226298
100, 0.415206911738151
101, 0.417699345241995
102, 0.423785940102831
103, 0.423063495608963
104, 0.432852618500872
105, 0.450606691937672
106, 0.460377753717233
107, 0.465850270758282
108, 0.46673526526327
109, 0.461136320435795
110, 0.457018386820748
111, 0.457036447933095
112, 0.459059292515925
113, 0.462292231625983
114, 0.477969277142913
115, 0.491063583594267
116, 0.485518822103832
117, 0.465380681837268
118, 0.45815623689859
119, 0.464116403972999
120, 0.457325425730642
121, 0.450949853072259
122, 0.44957720853391
123, 0.433358329646579
124, 0.418042506376582
125, 0.421419934385414
126, 0.419433212027278
127, 0.414087122772656
128, 0.42089616212736
129, 0.427831629268491
130, 0.445694069379371
131, 0.454905236676185
132, 0.456729409023201
133, 0.456675225686161
134, 0.454724625552718
135, 0.445712130491718
136, 0.435435357566449
137, 0.440077063439549
138, 0.459221842527045
139, 0.464080281748306
140, 0.460973770424674
141, 0.46023326481846
142, 0.456873897921975
143, 0.45831878690971
144, 0.454164731069971
145, 0.454887175563838
146, 0.452412803172341
147, 0.451563930892047
148, 0.43827095220488
149, 0.423316351181817
150, 0.445748252716411
151, 0.475820004773657
152, 0.503706362236953
153, 0.506867056897624
154, 0.509034390379227
155, 0.507679806953225
156, 0.507336645818638
157, 0.506469712425997
158, 0.504898395651834
159, 0.504862273427141
160, 0.501846067665243
161, 0.501629334317083
162, 0.520828296741619
163, 0.520900541191006
164, 0.509088573716267
165, 0.50000383420588
166, 0.487595850023701
167, 0.480786810668998
168, 0.457542159078802
169, 0.45575410895648
170, 0.454977481125572
171, 0.454652381103331
172, 0.454670442215678
173, 0.455338703372506
174, 0.457235120168909
175, 0.471358910024023
176, 0.505169312337035
177, 0.502387901035644
178, 0.500834645373828
179, 0.49951618417252
180, 0.50656001798773
181, 0.501557089867696
182, 0.499931589756494
183, 0.499859345307107
184, 0.498938228577425
185, 0.499606489734253
186, 0.516222713093212
187, 0.535782897764681
188, 0.511201723860831
189, 0.501141684283722
190, 0.49285163371659
191, 0.473056654584613
192, 0.456982264596055
193, 0.458336848022057
194, 0.456584920124428
195, 0.455681864507093
