T, PV
579, 0
580, 0
581, 0
582, 0
583, 0
584, 0
585, 0
586, 0.02
587, 0.06
588, 0.08
589, 0.1
590, 0.1
591, 0.08
592, 0.04
593, 0
594, 0
595, 0
596, 0
597, 0
598, 0
599, 0
600, 0
601, 0
602, 0
603, 0
604, 0
605, 0
606, 0
607, 0
608, 0
609, 0
610, 0.02
611, 0.08
612, 0.12
613, 0.14
614, 0.16
615, 0.16
616, 0.06
617, 0.02
618, 0
619, 0
620, 0
621, 0
622, 0
623, 0
624, 0
625, 0
626, 0
627, 0
628, 0
629, 0
630, 0
631, 0
632, 0
633, 0
634, 0.04
635, 0.08
636, 0.12
637, 0.12
638, 0.12
639, 0.08
640, 0.04
641, 0
642, 0
643, 0
644, 0
645, 0
646, 0
647, 0
648, 0
649, 0
650, 0
651, 0
652, 0
653, 0
654, 0
655, 0
656, 0
657, 0.02
658, 0.08
659, 0.14
660, 0.22
661, 0.26
662, 0.22
663, 0.18
664, 0.14
665, 0.02
666, 0
667, 0
668, 0
669, 0
670, 0
671, 0
672, 0
673, 0
674, 0
675, 0
676, 0
677, 0
678, 0
679, 0
680, 0
681, 0
682, 0.02
683, 0.04
684, 0.1
685, 0.12
686, 0.1
687, 0.06
688, 0.04
689, 0
690, 0
691, 0
692, 0
693, 0
694, 0
695, 0
696, 0
697, 0
698, 0
699, 0
700, 0
701, 0
702, 0
703, 0
704, 0
705, 0.02
706, 0.04
707, 0.18
708, 0.26
709, 0.24
710, 0.12
711, 0.08
712, 0.04
713, 0
714, 0
715, 0
716, 0
717, 0
718, 0
719, 0
720, 0
721, 0
722, 0
723, 0
724, 0
725, 0
726, 0
727, 0
728, 0
729, 0.06
730, 0.34
731, 0.36
732, 0.4
733, 0.44
734, 0.42
735, 0.3
736, 0.14
737, 0.02
738, 0
739, 0
740, 0
741, 0
742, 0
743, 0
744, 0
745, 0
746, 0
747, 0
748, 0
749, 0
750, 0
751, 0
752, 0
753, 0.02
754, 0.12
755, 0.18
756, 0.26
757, 0.24
758, 0.1
759, 0.06
760, 0.04
761, 0
762, 0
763, 0
764, 0
765, 0
766, 0
767, 0
768, 0
769, 0
770, 0
771, 0
772, 0
773, 0
774, 0
775, 0
776, 0
777, 0
778, 0.04
779, 0.06
780, 0.16
781, 0.22
782, 0.1
783, 0.08
784, 0.06
785, 0
786, 0
787, 0
788, 0
789, 0
790, 0
791, 0
792, 0
793, 0
794, 0
795, 0
796, 0
797, 0
798, 0
799, 0
800, 0
801, 0.02
802, 0.12
803, 0.16
804, 0.18
805, 0.22
806, 0.22
807, 0.18
808, 0.1
809, 0.02
810, 0
811, 0
812, 0
813, 0
814, 0
815, 0
816, 0
817, 0
818, 0
819, 0
820, 0
821, 0
822, 0
823, 0
824, 0
825, 0
826, 0.02
827, 0.04
828, 0.08
829, 0.1
830, 0.08
831, 0.06
832, 0.04
833, 0.02
834, 0
835, 0
836, 0
837, 0
838, 0
839, 0
840, 0
841, 0
842, 0
843, 0
844, 0
845, 0
846, 0
847, 0
848, 0
849, 0.02
850, 0.24
851, 0.38
852, 0.46
853, 0.38
854, 0.18
855, 0.16
856, 0.1
857, 0.02
858, 0
859, 0
860, 0
861, 0
862, 0
863, 0
864, 0
865, 0
866, 0
867, 0
868, 0
869, 0
870, 0
871, 0
872, 0
873, 0.04
874, 0.18
875, 0.32
876, 0.48
877, 0.48
878, 0.42
879, 0.32
880, 0.22
881, 0.08
882, 0
883, 0
884, 0
885, 0
886, 0
887, 0
888, 0
889, 0
890, 0
891, 0
892, 0
893, 0
894, 0
895, 0
896, 0
897, 0.02
898, 0.08
899, 0.14
900, 0.18
901, 0.18
902, 0.16
903, 0.14
904, 0.1
905, 0.04
906, 0
907, 0
908, 0
909, 0
910, 0
911, 0
912, 0
913, 0
914, 0
915, 0
916, 0
917, 0
918, 0
919, 0
920, 0
921, 0.02
922, 0.02
923, 0.08
924, 0.1
925, 0.12
926, 0.12
927, 0.12
928, 0.08
929, 0.02
930, 0
931, 0
932, 0
933, 0
934, 0
935, 0
936, 0
937, 0
938, 0
939, 0
940, 0
941, 0
942, 0
943, 0
944, 0
945, 0
946, 0.06
947, 0.1
948, 0.16
949, 0.18
950, 0.14
951, 0.12
952, 0.08
953, 0.04
954, 0
955, 0
956, 0
957, 0
958, 0
959, 0
960, 0
961, 0
962, 0
963, 0
964, 0
965, 0
966, 0
967, 0
968, 0
969, 0.04
970, 0.1
971, 0.18
972, 0.28
973, 0.36
974, 0.48
975, 0.42
976, 0.3
977, 0.1
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0.04
994, 0.32
995, 0.46
996, 0.58
997, 0.5
998, 0.42
999, 0.32
1000, 0.22
1001, 0.08
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0.04
1018, 0.08
1019, 0.12
1020, 0.14
1021, 0.16
1022, 0.12
1023, 0.08
1024, 0.04
1025, 0.02
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0.02
1042, 0.06
1043, 0.12
1044, 0.18
1045, 0.18
1046, 0.18
1047, 0.12
1048, 0.08
1049, 0.04
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0.06
1066, 0.16
1067, 0.28
1068, 0.34
1069, 0.38
1070, 0.38
1071, 0.34
1072, 0.2
1073, 0.08
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0.06
1090, 0.14
1091, 0.26
1092, 0.34
1093, 0.4
1094, 0.36
1095, 0.26
1096, 0.14
1097, 0.04
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0.02
1114, 0.06
1115, 0.12
1116, 0.14
1117, 0.16
1118, 0.12
1119, 0.1
1120, 0.06
1121, 0.02
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0.02
1138, 0.06
1139, 0.1
1140, 0.14
1141, 0.14
1142, 0.12
1143, 0.1
1144, 0.06
1145, 0.04
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0.04
1162, 0.12
1163, 0.24
1164, 0.3
1165, 0.32
1166, 0.3
1167, 0.2
1168, 0.12
1169, 0.06
1170, 0.02
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0.04
1186, 0.08
1187, 0.12
1188, 0.14
1189, 0.12
1190, 0.1
1191, 0.08
1192, 0.06
1193, 0.02
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0.04
1210, 0.08
1211, 0.16
1212, 0.22
1213, 0.24
1214, 0.16
1215, 0.14
1216, 0.08
1217, 0.04
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0.04
1234, 0.14
1235, 0.28
1236, 0.36
1237, 0.38
1238, 0.34
1239, 0.28
1240, 0.2
1241, 0.08
1242, 0.02
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
1251, 0
1252, 0
1253, 0
1254, 0
1255, 0
1256, 0
1257, 0.06
1258, 0.16
1259, 0.28
1260, 0.32
1261, 0.32
1262, 0.28
1263, 0.22
1264, 0.16
1265, 0.06
1266, 0.02
1267, 0
1268, 0
1269, 0
1270, 0
1271, 0
1272, 0
1273, 0
1274, 0
1275, 0
1276, 0
1277, 0
1278, 0
1279, 0
1280, 0
1281, 0.02
1282, 0.06
1283, 0.08
1284, 0.12
1285, 0.12
